SEASON,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
2000,Malik,Allen,Malik Allen,PF-C,80.25,79.0,271.0,86.5,109.0,6.7,8.75,9.5,25.5,29.0,11.83,3.38,13.0
2000,Harold,Arceneaux,Harold Arceneaux,SG-SF,76.5,79.0,219.0,80.5,103.0,6.7,8.75,9.5,29.0,29.0,13.8,3.26,0.0
2000,Lamont,Barnes,Lamont Barnes,PF-C,80.5,79.0,235.5,87.5,108.0,6.7,8.75,9.5,28.0,29.5,12.3,3.4,10.0
2000,Mario,Bland,Mario Bland,PF,77.5,79.0,287.0,84.0,103.0,6.7,8.75,9.5,27.0,31.0,13.04,3.47,15.0
2000,Primoz,Brezec,Primoz Brezec,C,84.75,79.0,243.0,86.0,110.0,6.7,8.75,9.5,26.0,29.5,11.53,3.55,10.0
2000,Ernest,Brown,Ernest Brown,C,82.0,79.0,222.5,85.25,109.5,6.7,8.75,9.5,29.0,34.5,11.3,3.26,2.0
2000,Speedy,Claxton,Speedy Claxton,PG,70.5,79.0,166.0,72.0,94.5,6.7,8.75,9.5,36.0,42.5,10.48,3.06,6.0
2000,Eric,Coley,Eric Coley,SG-SF,76.0,79.0,205.0,83.0,102.0,6.7,8.75,9.5,35.0,38.0,11.4,3.15,10.0
2000,Ed,Cota,Ed Cota,PG,72.25,79.0,189.0,76.0,96.5,6.7,8.75,9.5,26.5,33.5,10.98,3.24,1.0
2000,Schea,Cotton,Schea Cotton,SF,76.25,79.0,219.5,79.0,100.0,6.7,8.75,9.5,34.0,38.0,11.55,3.0,19.0
2000,Jamal,Crawford,Jamal Crawford,PG-SG,76.5,79.0,175.0,82.0,102.5,6.7,8.75,9.5,29.0,34.5,11.3,3.26,0.0
2000,Caswell,Cyrus,Caswell Cyrus,PF,79.75,79.0,220.5,86.0,107.5,6.7,8.75,9.5,33.5,37.5,12.12,3.16,18.0
2000,Khalid,El-Amin,Khalid El-Amin,PG,69.0,79.0,200.0,73.5,93.0,6.7,8.75,9.5,27.5,32.0,10.59,3.32,6.0
2000,Vassil,Evtimov,Vassil Evtimov,PF,81.75,79.0,262.0,82.5,106.5,6.7,8.75,9.5,21.0,28.5,11.75,3.52,13.0
2000,Antonis,Fotsis,Antonis Fotsis,SF,81.25,79.0,219.0,80.5,106.0,6.7,8.75,9.5,27.0,30.0,11.6,3.44,2.0
2000,Eddie,Gill,Eddie Gill,PG,71.75,79.0,176.0,76.0,93.0,6.7,8.75,9.5,35.0,38.5,11.12,3.18,13.0
2000,Ceedric,Goodwyn,Ceedric Goodwyn,SF-PF,78.0,79.0,238.0,82.0,104.5,6.7,8.75,9.5,29.0,34.5,11.3,3.26,10.0
2000,Marcus,Goree,Marcus Goree,SF-PF,79.5,79.0,239.0,84.5,105.5,6.7,8.75,9.5,29.5,33.5,12.0,3.25,13.0
2000,A.J.,Granger,A.J. Granger,SF,79.5,79.0,227.0,81.5,103.0,6.7,8.75,9.5,30.0,34.0,10.73,3.25,20.0
2000,A.J.,Guyton,A.J. Guyton,PG-SG,72.75,79.0,175.0,75.75,97.5,6.7,8.75,9.5,33.0,37.5,10.55,3.22,9.0
2000,Ron,Hale,Ron Hale,SG-SF,79.5,79.0,202.0,83.0,104.5,6.7,8.75,9.5,29.5,34.5,12.58,3.2,11.0
2000,Jason,Hart,Jason Hart,PG,73.75,79.0,181.0,78.0,97.5,6.7,8.75,9.5,29.5,33.5,11.7,3.34,9.0
2000,Donnell,Harvey,Donnell Harvey,PF,79.25,79.0,220.0,84.5,105.5,6.7,8.75,9.5,33.0,32.5,11.23,3.26,15.0
2000,Johnny,Hemsley,Johnny Hemsley,SG-SF,74.75,79.0,200.0,80.0,100.5,6.7,8.75,9.5,31.5,35.0,11.5,3.19,5.0
2000,Michael,Hermon,Michael Hermon,SG-PG,74.75,79.0,195.0,78.25,98.5,6.7,8.75,9.5,29.0,33.0,11.79,3.25,0.0
2000,Cory,Hightower,Cory Hightower,SG-SF,77.5,79.0,183.0,83.0,101.5,6.7,8.75,9.5,29.5,34.5,11.92,3.37,0.0
2000,Shaheen,Holloway,Shaheen Holloway,PG,69.5,79.0,174.0,70.0,91.0,6.7,8.75,9.5,29.0,34.5,11.22,3.32,6.0
2000,Eddie,House,Eddie House,SG-PG,71.75,79.0,176.5,75.5,95.0,6.7,8.75,9.5,29.5,38.5,11.12,3.27,5.0
2000,Jimmie,Hunter,Jimmie Hunter,SG-PG,75.0,79.0,170.0,80.0,100.0,6.7,8.75,9.5,29.0,36.0,11.23,3.35,0.0
2000,Jacob,Jaacks,Jacob Jaacks,PF,81.25,79.0,238.0,83.0,105.5,6.7,8.75,9.5,26.0,32.0,11.48,3.58,3.0
2000,Marko,Jaric,Marko Jaric,SG-SF,78.5,79.0,210.0,81.0,104.0,6.7,8.75,9.5,27.5,33.0,11.32,3.28,10.0
2000,Nate,Johnson,Nate Johnson,SF,78.5,79.0,211.5,80.5,104.0,6.7,8.75,9.5,27.0,33.5,11.9,3.33,13.0
2000,Kenyon,Jones,Kenyon Jones,PF-C,81.0,79.0,282.0,85.0,108.0,6.7,8.75,9.5,28.5,30.0,12.44,3.6,20.0
2000,Mark,Karcher,Mark Karcher,SG,76.0,79.0,218.0,80.0,102.5,6.7,8.75,9.5,27.5,30.5,11.51,3.4,12.0
2000,Brandon,Kurtz,Brandon Kurtz,PF-C,81.5,79.0,257.0,83.25,106.5,6.7,8.75,9.5,29.0,34.5,11.3,3.26,7.0
2000,Dan,Langhi,Dan Langhi,SF,81.0,79.0,197.5,80.0,104.0,6.7,8.75,9.5,31.0,34.5,10.85,3.24,12.0
2000,Justin,Love,Justin Love,PG-SG,73.5,79.0,205.5,76.5,97.5,6.7,8.75,9.5,31.0,38.5,10.99,3.31,24.0
2000,Mark,Madsen,Mark Madsen,PF,80.0,79.0,236.5,84.5,104.5,6.7,8.75,9.5,30.5,33.5,12.12,3.46,13.0
2000,Dan,McClintock,Dan McClintock,C-PF,83.0,79.0,250.0,85.5,107.0,6.7,8.75,9.5,33.0,35.0,11.52,3.33,20.0
2000,Pete,Mickeal,Pete Mickeal,SG-SF,77.0,79.0,222.0,81.5,103.5,6.7,8.75,9.5,28.0,34.5,10.83,3.06,8.0
2000,Brian,Montonati,Brian Montonati,PF,80.75,79.0,215.0,82.5,106.0,6.7,8.75,9.5,25.0,29.0,11.85,3.53,5.0
