GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoP_per,TP_per,blk_per,stl_per,ftr,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,treb,ast,stl,blk,pts,posicion,ronda,altura_cm,rango_pick
33,57.5,114.7,27.2,60.1,62.32,11.5,24.8,10.5,17.3,0.709,0.594,0.545,10.4,0.7,37.8,0.56922373,0.8156,0.4239,87.656,202.705,9.73587,2.90867,6.8272,10.8745,24.6364,6.267,4.60752,8.1818,1.1212,0.2727,2.5455,14.9697,C,R2,213.4,41-50
38,77.1,105.5,23.2,51.6,50.27,10.4,19.3,13.0,12.4,0.422,0.513,0.356,3.4,1.8,47.1,1.36361758,0.6919,0.2571,87.7492,242.823,8.3179,2.89022,5.42768,7.17364,31.2368,3.32065,3.85299,7.9737,1.9737,0.8947,1.0263,12.3684,Wing F,R1,203.2,1-10
33,92.1,112.9,27.2,55.7,60.87,1.6,8.7,29.9,20.6,0.828,0.486,0.429,0.7,1.9,41.7,1.53599624,0.5695,0.3654,106.928,209.167,4.36451,4.73004,-0.365525,5.01555,37.697,4.87478,0.140775,3.6667,5.8182,1.2727,0.2424,20.3333,Scoring PG,R1,185.4,21-30
14,38.8,125.1,23.7,65.9,68.53,2.5,13.9,6.9,11.6,0.825,0.5,0.522,2.6,2.3,30.7,0.54167882,0.5577,0.4211,105.59,92.9536,6.21376,6.24541,-0.0316497,8.91591,35.7143,8.63458,0.281327,4.8571,0.9286,1.4286,0.8571,23.0,Wing G,R1,198.1,11-20
34,78.1,128.1,23.0,55.3,63.26,7.7,18.5,10.2,10.3,0.819,0.558,0.356,1.7,2.6,72.6,1.17074391,0.7273,0.2981,93.0969,218.074,10.4434,7.34678,3.09665,11.6205,31.4706,8.41527,3.20525,7.2941,1.4118,1.3235,0.4706,16.4118,Wing F,R2,205.7,41-50
30,83.3,103.8,24.9,51.7,54.23,4.5,15.9,17.2,14.5,0.767,0.515,0.346,2.0,2.1,20.3,1.29511608,0.6465,0.3925,99.3101,192.501,6.24866,3.93345,2.31521,5.79877,33.0968,4.166,1.63276,5.8387,2.5484,1.129,0.5484,14.4516,Wing G,R2,198.1,51-60
35,76.9,103.5,20.7,55.5,58.35,2.9,14.3,8.0,19.7,0.736,0.553,0.371,2.2,1.9,31.5,0.68357622,0.6909,0.3793,103.21,211.419,4.02682,2.35256,1.67426,2.72384,31.0857,1.531,1.19284,4.9714,1.5429,1.0571,0.6857,12.9143,Wing G,R2,198.1,51-60
36,78.2,109.2,24.4,54.8,56.23,4.5,16.3,11.7,14.4,0.698,0.502,0.422,1.7,1.6,17.6,1.0714097,0.6316,0.4098,100.172,219.529,5.04052,4.02465,1.01587,5.4047,31.7838,4.44481,0.95989,6.1351,2.027,0.8919,0.4595,16.4865,Wing F,R2,198.1,41-50
31,56.7,113.5,27.1,56.5,60.66,6.8,22.9,10.2,16.1,0.79,0.536,0.423,3.8,1.0,39.0,0.65078975,0.7115,0.411,96.6971,170.629,5.16282,3.50668,1.65614,6.39284,28.0645,5.0434,1.34944,7.2581,1.3226,0.4839,0.9032,16.4194,Stretch 4,R1,208.3,11-20
32,96.5,119.7,22.9,61.2,66.99,12.5,22.6,6.1,18.3,0.787,0.614,0.0,4.6,1.3,77.0,0.36780932,0.58,0.3333,95.127,261.974,5.55748,3.18525,2.37223,6.58919,39.3438,5.69052,0.898667,11.8125,1.0,0.8125,1.75,19.1562,desconocido,R2,205.7,51-60
